Incident Date,State,City Or County,# Incidents
October,Kentucky,Hopkinsville,1.0
August,Tennessee,Memphis,1.0
April,Mississippi,Jackson,1.0
July,Colorado,Castle Rock,1.0
July,Florida,Sarasota,1.0
March,Texas,Temple,1.0
March,Florida,Pompano Beach,1.0
April,New Mexico,Carlsbad,1.0
June,Colorado,Steamboat Springs,1.0
August,Texas,Scurry,1.0
April,Tennessee,Englewood,1.0
July,Texas,Cypress,1.0
August,Ohio,Toledo,1.0
May,Wisconsin,Milwaukee,1.0
September,Tennessee,Clarksville,1.0
June,California,Antioch,1.0
November,Texas,Bulverde,1.0
May,Texas,Weatherford,1.0
April,Maryland,Frederick,1.0
March,Wisconsin,Cameron,1.0
November,Tennessee,Dresden,1.0
November,Tennessee,Nashville,1.0
August,California,Red Bluff,1.0
October,Oregon,Sherwood,1.0
February,California,Santa Maria,1.0
March,Alabama,Birmingham,3.0
April,Pennsylvania,York,1.0
June,Arizona,Phoenix,1.0
May,Florida,Fort Lauderdale (Dania Beach),1.0
August,Alaska,Dillingham,1.0
June,Tennessee,Buchanan,1.0
May,Georgia,Griffin,1.0
May,Indiana,Howe,1.0
December,Ohio,Groveport,1.0
May,Arizona,Tucson,1.0
April,South Carolina,Rock Hill,1.0
December,Ohio,Newcomerstown,1.0
April,Alaska,Juneau,1.0
September,Ohio,Madison,1.0
July,Ohio,Miamisburg,1.0
June,California,Fresno,1.0
July,Washington,Federal Way,1.0
May,Indiana,Gary,1.0
August,Georgia,Marietta,1.0
August,Georgia,Columbus,1.0
August,Oklahoma,Tulsa,1.0
July,Mississippi,Hattiesburg,1.0
January,North Carolina,Leland (Belville),1.0
April,Iowa,Waukon,1.0
October,Texas,Fort Worth,1.0
June,Georgia,Lagrange,1.0
March,Utah,Sandy,2.0
July,Massachusetts,Amherst,1.0
July,Wisconsin,Milwaukee,1.0
September,Missouri,Pineville,1.0
August,Michigan,Detroit,1.0
July,Virginia,Richmond,1.0
July,Idaho,Idaho Falls,1.0
April,Florida,Bay (county),1.0
December,Alaska,Anchorage,1.0
May,Washington,Pasco,1.0
September,South Carolina,Hartsville,1.0
June,Oklahoma,Lexington,1.0
August,Indiana,Crown Point,1.0
December,Missouri,Hazelwood,1.0
August,Kentucky,Louisville,1.0
May,Missouri,Ash Grove,1.0
April,South Carolina,Myrtle Beach,1.0
August,Tennessee,Clarksville,2.0
July,Maryland,Hagerstown,1.0
April,Alaska,Anchorage,1.0
July,Mississippi,Starkville,1.0
March,California,Newhall,1.0
June,Mississippi,Greenville,1.0
April,Nebraska,Lincoln,1.0
March,Alaska,Juneau,1.0
April,Nebraska,Omaha,1.0
August,Ohio,Ashtabula,1.0
May,Illinois,Springfield,1.0
July,Florida,Palm Beach (county),1.0
July,South Carolina,Inman,2.0
March,North Carolina,Salisbury,1.0
November,Louisiana,Pitkin,1.0
June,Florida,Cape Coral,2.0
May,New Hampshire,Keene,1.0
May,North Carolina,Charlotte,1.0
May,Ohio,Akron,1.0
October,Arkansas,Helena,1.0
June,Ohio,Shadyside,1.0
February,Texas,El Paso,1.0
July,Georgia,Augusta,1.0
September,Kentucky,Franklin,1.0
June,Georgia,Columbus,1.0
April,North Carolina,Kinston,1.0
July,Tennessee,Greeneville,1.0
October,New York,Greig,1.0
August,Tennessee,Murfreesboro,2.0
May,California,Twentynine Palms (Twentynine Palms Mcb),2.0
September,Indiana,Hammond,2.0
June,Georgia,Jenkins (county),1.0
June,Ohio,Cleveland,1.0
July,Massachusetts,West Springfield,1.0
February,Louisiana,Baton Rouge,1.0
May,North Carolina,Mooresville,1.0
May,Iowa,Clarksville,1.0
May,Ohio,Warren,1.0
October,Kentucky,Covington,1.0
July,Louisiana,Westwego (Bridge City),1.0
February,Alabama,Talladega,1.0
July,Florida,Miami (Doral),1.0
October,Missouri,Saint Louis (University City),1.0
July,Georgia,Cordele,1.0
June,Virginia,Henrico,1.0
August,Michigan,Jackson,1.0
June,Oklahoma,Oklahoma City,1.0
July,Pennsylvania,Pittsburgh,1.0
December,Tennessee,Lawrenceburg,1.0
May,Georgia,Macon,2.0
March,Alabama,Mobile,1.0
July,New York,Rochester,1.0
January,Texas,Fort Worth,1.0
March,Georgia,Hull,1.0
July,Louisiana,New Orleans,1.0
November,Colorado,Saguache,1.0
June,Texas,Beaumont,1.0
November,Connecticut,Wethersfield,1.0
March,Michigan,Midland,1.0
July,Virginia,Hampton,1.0
June,California,San Diego,1.0
September,Oklahoma,Tulsa,1.0
October,New York,Syracuse,1.0
June,Texas,Borger,2.0
July,Massachusetts,Topsfield,1.0
March,Tennessee,Clarksville,1.0
May,Indiana,South Bend,1.0
June,Michigan,Grand Rapids,1.0
February,New Hampshire,Danville,1.0
May,Nebraska,Burwell,1.0
May,Louisiana,Slidell,1.0
June,Pennsylvania,Fredericktown,1.0
July,Georgia,Atlanta,1.0
June,Missouri,Monett,1.0
June,South Carolina,Spartanburg,1.0
December,Maryland,Aquasco,1.0
May,New Hampshire,Manchester,1.0
August,Pennsylvania,West Mifflin,1.0
July,Indiana,Salem,1.0
April,Indiana,Merrillville,1.0
May,Iowa,Stuart,1.0
April,Illinois,Barrington,1.0
June,Texas,San Antonio,1.0
October,Oklahoma,Oklahoma City,1.0
August,Mississippi,Gulfport,1.0
May,Georgia,Smyrna,1.0
May,Wisconsin,Menasha,1.0
April,South Carolina,Bluffton,1.0
June,Indiana,Lebanon,1.0
June,Alabama,Lafayette,1.0
March,Florida,Miami Beach,1.0
July,Maine,Lewiston,1.0
June,Arizona,Glendale,1.0
June,Kansas,Wichita,1.0
May,Michigan,Battle Creek,1.0
June,Tennessee,Memphis,1.0
July,Tennessee,Antioch,1.0
April,Kansas,Wichita,1.0
July,Georgia,Savannah,1.0
January,Texas,Texas City,1.0
July,Tennessee,Chattanooga,1.0
August,Virginia,Richmond,1.0
July,Mississippi,Jackson,1.0
August,Washington,Bremerton,1.0
June,Pennsylvania,Harrisburg,1.0
September,Florida,Jacksonville,1.0
October,Oklahoma,Lawton,1.0
